Name,State,Runtime,Created,dataset,model,representation,test/fscore,test/auroc,val/fscore,val/auroc,fit_time,inference_mean_time,inference_std_time,memory_complexity,val/mae,test/mae
sleep_edf__whole_signal_features__CNNClassifier,finished,4900,2023-01-09T15:11:58.000Z,sleep_edf,CNN,whole_signal_features,0.514026284217835,0.796129405498505,0.497404158115387,0.762000203132629,4714.45227408409,3.05086325009664,0.454636066254345,3783501,,
sleep_edf__whole_signal_waveforms__CNNClassifier,finished,9077,2023-01-09T12:40:38.000Z,sleep_edf,CNN,whole_signal_waveforms,0.784653961658478,0.940382242202759,0.793872773647308,0.927417159080505,8642.84849715233,6.76792830308278,0.503990468952278,3797837,,
sleep_edf__whole_signal_features__MLPClassifier,finished,2727,2023-01-09T11:55:08.000Z,sleep_edf,MLP,whole_signal_features,0.705680906772614,0.857733488082886,0.697362244129181,0.848459839820862,2710.41014671326,0.286670398960511,0.069692048832967,3522799,,
sleep_edf__whole_signal_waveforms__MLPClassifier,finished,3002,2023-01-09T11:05:03.000Z,sleep_edf,MLP,whole_signal_waveforms,0.475856572389603,0.70147967338562,0.473462641239166,0.705330312252045,2971.92115950584,0.331671253542105,0.076255933922608,11925743,,
sleep_edf__whole_signal_features__LogisticRegression,finished,48,2023-01-09T09:46:41.000Z,sleep_edf,Regression,whole_signal_features,0.548402488231659,0.793436169624329,0.552218616008758,0.834277749061585,18.4162614345551,0.043737888336182,0.023040415276436,19847,,
sleep_edf__whole_signal_waveforms__LogisticRegression,finished,190,2023-01-09T09:43:29.000Z,sleep_edf,Regression,whole_signal_waveforms,0.327470749616623,0.534253716468811,0.304303288459778,0.515224099159241,152.897154808044,0.06162961324056,0.025021871750839,216800,,
sleep_edf__whole_signal_features__DecisionTreeClassifier,finished,16,2023-01-09T09:43:11.000Z,sleep_edf,Decision Tree,whole_signal_features,0.660511791706085,0.774824917316437,0.668255686759949,0.783007681369782,5.7291464805603,0.046156247456869,0.017956377202668,3562175,,
sleep_edf__whole_signal_waveforms__DecisionTreeClassifier,finished,52,2023-01-09T09:42:17.000Z,sleep_edf,Decision Tree,whole_signal_waveforms,0.431109517812729,0.618196964263916,0.420470952987671,0.610490202903748,29.068666934967,0.046312808990479,0.020179595344629,6237471,,
sleep_edf__whole_signal_features__LGBMClassifier,finished,58,2023-01-09T09:35:49.000Z,sleep_edf,LGBM,whole_signal_features,0.789092361927033,0.956928849220276,0.796621203422546,0.957132279872894,32.1842517852783,0.374314785003662,0.091881520687178,2116706,,
sleep_edf__whole_signal_waveforms__LGBMClassifier,finished,494,2023-01-09T09:27:33.000Z,sleep_edf,LGBM,whole_signal_waveforms,0.638311445713043,0.879116714000702,0.617602407932282,0.859934806823731,458.003039836884,0.474045276641846,0.115787332477259,2360868,,
ptbxl__whole_signal_features__LGBMClassifier,finished,43,2023-01-23T16:50:18.000Z,ptbxl,LGBM,whole_signal_features,0.763094782829285,0.920998394489288,0.778769731521606,0.928099393844604,36.7317688465118,0.468014081319173,0.085261095146516,10923432,,
ptbxl__whole_signal_features__LogisticRegression,finished,1640,2023-01-23T12:51:55.000Z,ptbxl,Regression,whole_signal_features,0.701931059360504,0.874859273433685,0.688346147537231,0.8749138712883,1631.14418554306,0.042188167572022,0.021458953580739,73499,,
ptbxl__whole_signal_waveforms__CNNClassifier,finished,1574,2023-01-23T17:51:27.000Z,ptbxl,CNN,whole_signal_waveforms,0.741650223731995,0.851047992706299,0.757668197154999,0.857946276664734,1536.65837311745,6.62185770511627,1.11760428304832,14388429,,
ptbxl__agg_beat_waveforms__CNNClassifier,finished,321,2023-01-24T01:16:58.000Z,ptbxl,CNN,agg_beat_waveforms,0.751666903495789,0.858943104743958,0.756600499153137,0.871008276939392,311.332230091095,0.830942080020905,0.069984647425191,3836109,,
ptbxl__agg_beat_features__MLPClassifier,finished,68,2023-01-23T17:42:23.000Z,ptbxl,MLP,agg_beat_features,0.703809976577759,0.848255038261414,0.711221814155579,0.856929898262024,59.1026744842529,0.176708160017927,0.065061524888829,3032577,,
ptbxl__agg_beat_features__LGBMClassifier,finished,73,2023-01-23T16:55:49.000Z,ptbxl,LGBM,agg_beat_features,0.783754348754883,0.923659801483154,0.775946319103241,0.924293637275696,62.7641248703003,0.488749345143636,0.122714151980526,10713699,,
ptbxl__agg_beat_waveforms__LGBMClassifier,finished,101,2023-01-23T16:53:44.000Z,ptbxl,LGBM,agg_beat_waveforms,0.746646881103516,0.909266173839569,0.754119634628296,0.913290202617645,89.5323421955109,0.441982746124268,0.059411295047595,10821583,,
ptbxl__agg_beat_waveforms__LogisticRegression,finished,40,2023-01-23T16:15:19.000Z,ptbxl,Regression,agg_beat_waveforms,0.630995452404022,0.836900472640991,0.662672460079193,0.857137680053711,30.887665271759,0.034654935201009,0.003683613255968,24764,,
ptbxl__whole_signal_features__DecisionTreeClassifier,finished,28,2023-01-23T16:40:09.000Z,ptbxl,Decision Tree,whole_signal_features,0.625496864318848,0.711604416370392,0.625710785388947,0.711192071437836,19.9808895587921,0.060006777445475,0.036419462367161,160189,,
ptbxl__whole_signal_waveforms__LogisticRegression,finished,206,2023-01-23T12:15:45.000Z,ptbxl,Regression,whole_signal_waveforms,0.383952915668487,0.520576596260071,0.368737161159515,0.515023469924927,195.875804185867,0.07102648417155,0.030432521068787,480788,,
ptbxl__agg_beat_features__CNNClassifier,finished,1985,2023-01-24T01:25:10.000Z,ptbxl,CNN,agg_beat_features,0.714875400066376,0.843000650405884,0.725517332553864,0.849702656269074,1938.6819934845,13.241784213384,7.05943060080417,18869949,,
ptbxl__whole_signal_waveforms__LGBMClassifier,finished,58,2023-01-23T16:45:01.000Z,ptbxl,LGBM,whole_signal_waveforms,0.595025599002838,0.797407209873199,0.635095000267029,0.815427899360657,45.8713717460632,0.385618209838867,0.060631755671734,6303526,,
ptbxl__whole_signal_features__MLPClassifier,finished,140,2023-01-23T17:13:11.000Z,ptbxl,MLP,whole_signal_features,0.714400172233581,0.840987086296081,0.72058492898941,0.860644698143005,132.029601812363,0.208522986620665,0.041513459313601,9615803,,
ptbxl__whole_signal_features__CNNClassifier,finished,1547,2023-01-23T23:41:07.000Z,ptbxl,CNN,whole_signal_features,0.693854093551636,0.851873695850372,0.70658552646637,0.872830986976624,1518.08636927605,2.13460021098455,0.216868863827333,1139085,,
ptbxl__agg_beat_waveforms__MLPClassifier,finished,146,2023-01-23T17:36:37.000Z,ptbxl,MLP,agg_beat_waveforms,0.692573726177216,0.805884718894959,0.711047768592835,0.82316792011261,138.023659706116,0.109953920120994,0.032790020143331,4966919,,
ptbxl__agg_beat_features__DecisionTreeClassifier,finished,14,2023-01-23T16:42:45.000Z,ptbxl,Decision Tree,agg_beat_features,0.602560520172119,0.679315567016602,0.635841727256775,0.710135281085968,6.5426607131958,0.041054884592692,0.011531652128313,190717,,
ptbxl__agg_beat_waveforms__DecisionTreeClassifier,finished,9,2023-01-23T16:42:14.000Z,ptbxl,Decision Tree,agg_beat_waveforms,0.612240612506866,0.692985773086548,0.629571318626404,0.717585921287537,1.71980810165405,0.041294892628988,0.020933959520392,260220,,
ptbxl__agg_beat_features__LogisticRegression,finished,58,2023-01-23T16:16:23.000Z,ptbxl,Regression,agg_beat_features,0.702672958374023,0.88890141248703,0.697792053222656,0.886073112487793,51.3716533184052,0.034544467926025,0.008074677636324,19490,,
ptbxl__whole_signal_waveforms__MLPClassifier,finished,100,2023-01-23T17:03:00.000Z,ptbxl,MLP,whole_signal_waveforms,0.461791843175888,0.596725583076477,0.468555241823196,0.613470792770386,89.0721406936646,0.294471147408088,0.055481178530095,26745275,,
