"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.weight_decay","model.learning_rate","model.net.conv0_channels","model.net.conv0_kernel_size","model.net.ff_dropout","model.net.ff_hidden_dims","model.net.layers"
"ptbxl__whole_signal_features__CNNClassifier","finished","942","2023-01-23T11:47:28.000Z","whole_signal_features","CNN","0.557775616645813","914.3016157150269","0.01","0.001","64","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","847","2023-01-23T11:33:18.000Z","whole_signal_features","CNN","0.5887449979782104","814.6738271713257","0.0001","0.001","64","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","1440","2023-01-23T11:05:47.000Z","whole_signal_features","CNN","0.6938718557357788","1393.4341311454773","0.001","0.001","64","7","0.3","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","1579","2023-01-23T10:39:25.000Z","whole_signal_features","CNN","0.6856086254119873","1544.4077820777893","0.001","0.001","64","7","0.1","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","1857","2023-01-23T10:08:25.000Z","whole_signal_features","CNN","0.7020614147186279","1819.1729414463043","0.001","0.001","64","7","0","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","961","2023-01-23T09:45:10.000Z","whole_signal_features","CNN","0.5916711091995239","928.8404273986816","0.001","0.001","64","7","0.2","[128,64]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","1461","2023-01-23T09:20:46.000Z","whole_signal_features","CNN","0.6886122226715088","1427.6704590320587","0.001","0.001","64","7","0.2","[128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","1377","2023-01-23T08:57:46.000Z","whole_signal_features","CNN","0.6697500944137573","1341.2749574184418","0.001","0.001","64","7","0.2","[64]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","1396","2023-01-23T08:33:06.000Z","whole_signal_features","CNN","0.604035496711731","1354.086785554886","0.001","0.001","64","7","0.2","[128,128]","[1,1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","419","2023-01-23T08:26:04.000Z","whole_signal_features","CNN","0.4606676399707794","386.1432135105133","0.001","0.001","64","7","0.2","[128,128]","[1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","465","2023-01-23T08:18:16.000Z","whole_signal_features","CNN","0.46310797333717346","439.3185408115387","0.001","0.001","64","7","0.2","[128,128]","[1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","1111","2023-01-23T07:56:58.000Z","whole_signal_features","CNN","0.4823764264583587","1016.60209774971","0.001","0.001","256","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","1382","2023-01-23T07:33:53.000Z","whole_signal_features","CNN","0.7065855264663696","1353.703251361847","0.001","0.001","64","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","1015","2023-01-23T05:27:51.000Z","whole_signal_features","CNN","0.5641055107116699","970.5277006626128","0.001","0.001","128","9","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","723","2023-01-23T05:15:45.000Z","whole_signal_features","CNN","0.5425883531570435","674.8243882656097","0.001","0.001","128","5","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","454","2023-01-22T22:29:15.000Z","whole_signal_features","CNN","0.39952799677848816","407.4678695201874","0.001","0.1","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","815","2023-01-22T22:15:37.000Z","whole_signal_features","CNN","0.39952799677848816","766.8059875965118","0.001","0.01","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_features__CNNClassifier","finished","849","2023-01-22T22:01:25.000Z","whole_signal_features","CNN","0.5860379934310913","803.9934275150299","0.001","0.001","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","1465","2023-01-22T21:25:01.000Z","whole_signal_waveforms","CNN","0.7534547448158264","1432.2086672782898","0.01","0.001","256","9","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","1470","2023-01-22T21:00:28.000Z","whole_signal_waveforms","CNN","0.7516369819641113","1435.4693069458008","0.0001","0.001","256","9","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","1571","2023-01-22T20:31:19.000Z","whole_signal_waveforms","CNN","0.7513062357902527","1532.5512690544128","0.001","0.001","256","9","0.3","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","1407","2023-01-22T20:07:49.000Z","whole_signal_waveforms","CNN","0.7515115737915039","1369.6312806606293","0.001","0.001","256","9","0.1","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","1131","2023-01-22T19:48:55.000Z","whole_signal_waveforms","CNN","0.7475894689559937","1096.9497361183169","0.001","0.001","256","9","0","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","993","2023-01-22T19:29:11.000Z","whole_signal_waveforms","CNN","0.7500255107879639","961.6178631782532","0.001","0.001","256","9","0.2","[128,64]","[1,1,1]"
