"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.max_features","model.min_samples_split","model.min_samples_leaf","model.max_depth"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","80","2023-01-20T20:47:27.000Z","whole_signal_waveforms","Decision Tree","0.3531953692436218","72.55424213409424","0.7","2","16","64"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","92","2023-01-20T20:45:52.000Z","whole_signal_waveforms","Decision Tree","0.36640775203704834","83.86633706092834","0.7","2","8","64"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","95","2023-01-20T20:44:15.000Z","whole_signal_waveforms","Decision Tree","0.38837483525276184","86.30536961555481","0.7","2","4","64"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","98","2023-01-20T20:42:34.000Z","whole_signal_waveforms","Decision Tree","0.4161502122879028","91.2330961227417","0.7","2","2","64"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","102","2023-01-20T20:40:49.000Z","whole_signal_waveforms","Decision Tree","0.4364861845970154","91.92588663101196","0.7","2","1","64"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","110","2023-01-20T19:16:29.000Z","whole_signal_waveforms","Decision Tree","0.4364861845970154","91.69711589813232","0.7","2","1",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","99","2023-01-20T19:14:45.000Z","whole_signal_waveforms","Decision Tree","0.4364861845970154","91.1229317188263","0.7","2","1","64"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","103","2023-01-20T19:13:00.000Z","whole_signal_waveforms","Decision Tree","0.4260389804840088","94.06924414634705","0.7","2","1","32"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","84","2023-01-20T19:11:34.000Z","whole_signal_waveforms","Decision Tree","0.392107218503952","75.76421117782593","0.7","2","1","16"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","40","2023-01-20T19:10:51.000Z","whole_signal_waveforms","Decision Tree","0.30471664667129517","20.83962464332581","0.7","2","1","4"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","101","2023-01-20T18:55:36.000Z","whole_signal_waveforms","Decision Tree","0.41172826290130615","93.90048480033876","0.7","16","1",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","106","2023-01-20T18:53:47.000Z","whole_signal_waveforms","Decision Tree","0.4155460000038147","98.2985339164734","0.7","8","1",""
