"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.max_depth","model.colsample_bytree","model.num_leaves","model.n_estimators","model.learning_rate"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","60","2023-01-21T13:38:20.000Z","whole_signal_waveforms","LGBM","0.6350950002670288","49.978153228759766","4","0.1","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","59","2023-01-21T13:37:18.000Z","whole_signal_waveforms","LGBM","0.5388627648353577","48.59723520278931","4","0.1","31","600","0.01"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","59","2023-01-21T13:36:17.000Z","whole_signal_waveforms","LGBM","0.4976288676261902","48.76869535446167","4","0.1","31","600","0.005"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","70","2023-01-21T13:35:04.000Z","whole_signal_waveforms","LGBM","0.4456677436828614","49.699373960494995","4","0.1","31","600","0.001"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","87","2023-01-21T13:32:36.000Z","whole_signal_waveforms","LGBM","0.6289809942245483","76.16580891609192","4","0.1","31","1000","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","60","2023-01-21T13:31:34.000Z","whole_signal_waveforms","LGBM","0.6350950002670288","50.24996471405029","4","0.1","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","35","2023-01-21T13:30:56.000Z","whole_signal_waveforms","LGBM","0.615764856338501","25.15895652770996","4","0.1","31","250","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","25","2023-01-21T13:30:28.000Z","whole_signal_waveforms","LGBM","0.5752333402633667","14.29987645149231","4","0.1","31","100","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","59","2023-01-21T13:28:49.000Z","whole_signal_waveforms","LGBM","0.6350950002670288","48.58109998703003","4","0.1","63","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","63","2023-01-21T13:27:44.000Z","whole_signal_waveforms","LGBM","0.6350950002670288","49.24552655220032","4","0.1","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","59","2023-01-21T13:26:42.000Z","whole_signal_waveforms","LGBM","0.6308316588401794","48.69924306869507","4","0.1","15","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","49","2023-01-21T13:25:50.000Z","whole_signal_waveforms","LGBM","0.6205862760543823","39.012359380722046","4","0.1","7","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","130","2023-01-21T13:23:13.000Z","whole_signal_waveforms","LGBM","0.631373941898346","118.5670268535614","-1","0.1","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","129","2023-01-21T13:21:01.000Z","whole_signal_waveforms","LGBM","0.631373941898346","120.21574020385742","64","0.1","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","133","2023-01-21T13:18:45.000Z","whole_signal_waveforms","LGBM","0.631373941898346","123.88683938980104","32","0.1","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","129","2023-01-21T13:16:33.000Z","whole_signal_waveforms","LGBM","0.6316125988960266","119.4648983478546","16","0.1","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","60","2023-01-21T13:15:30.000Z","whole_signal_waveforms","LGBM","0.6350950002670288","49.48827862739563","4","0.1","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","1023","2023-01-21T12:52:25.000Z","whole_signal_waveforms","LGBM","0.6094746589660645","1014.5952336788176","-1","1","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","941","2023-01-21T12:36:41.000Z","whole_signal_waveforms","LGBM","0.6248699426651001","932.3133742809296","-1","0.9","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","754","2023-01-21T12:24:04.000Z","whole_signal_waveforms","LGBM","0.6159679293632507","744.1176915168762","-1","0.7","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","560","2023-01-21T12:14:42.000Z","whole_signal_waveforms","LGBM","0.6285556554794312","550.1459002494812","-1","0.5","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","369","2023-01-21T12:08:30.000Z","whole_signal_waveforms","LGBM","0.630644679069519","359.7585024833679","-1","0.3","31","600","0.1"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","145","2023-01-21T12:06:02.000Z","whole_signal_waveforms","LGBM","0.631373941898346","133.51233434677124","-1","0.1","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","102","2023-01-21T12:02:47.000Z","agg_beat_waveforms","LGBM","0.7511297464370728","92.9086184501648","-1","1","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","90","2023-01-21T12:01:14.000Z","agg_beat_waveforms","LGBM","0.7203018665313721","82.1046679019928","32","0.9","31","600","0.01"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","84","2023-01-21T11:59:47.000Z","agg_beat_waveforms","LGBM","0.7028548717498779","76.12425112724304","32","0.9","31","600","0.005"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","82","2023-01-21T11:58:22.000Z","agg_beat_waveforms","LGBM","0.6960285902023315","73.31780099868774","32","0.9","31","600","0.001"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","145","2023-01-21T11:36:18.000Z","agg_beat_waveforms","LGBM","0.7412594556808472","137.21815538406372","32","0.9","31","1000","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","103","2023-01-21T11:34:32.000Z","agg_beat_waveforms","LGBM","0.7541196346282959","93.83073091506958","32","0.9","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","44","2023-01-21T11:33:45.000Z","agg_beat_waveforms","LGBM","0.7536352872848511","35.57994627952576","32","0.9","31","250","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","25","2023-01-21T11:33:17.000Z","agg_beat_waveforms","LGBM","0.7446637153625488","16.349321842193604","32","0.9","31","100","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","161","2023-01-21T11:30:00.000Z","agg_beat_waveforms","LGBM","0.7417589426040649","151.9320900440216","32","0.9","63","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","99","2023-01-21T11:28:18.000Z","agg_beat_waveforms","LGBM","0.7541196346282959","90.59411883354188","32","0.9","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","60","2023-01-21T11:27:15.000Z","agg_beat_waveforms","LGBM","0.7465161085128784","51.21881079673767","32","0.9","15","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","36","2023-01-21T11:26:36.000Z","agg_beat_waveforms","LGBM","0.7366412878036499","29.37915325164795","32","0.9","7","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","107","2023-01-21T11:24:24.000Z","agg_beat_waveforms","LGBM","0.7541196346282959","96.55842852592468","-1","0.9","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","97","2023-01-21T11:22:44.000Z","agg_beat_waveforms","LGBM","0.7541196346282959","87.67759585380554","64","0.9","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","96","2023-01-21T11:21:05.000Z","agg_beat_waveforms","LGBM","0.7541196346282959","86.21651458740234","32","0.9","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","94","2023-01-21T11:19:28.000Z","agg_beat_waveforms","LGBM","0.752468466758728","85.92054343223572","16","0.9","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","44","2023-01-21T11:18:41.000Z","agg_beat_waveforms","LGBM","0.7455840110778809","34.83134722709656","4","0.9","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","109","2023-01-21T11:16:30.000Z","agg_beat_waveforms","LGBM","0.7511297464370728","99.69293355941772","-1","1","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","95","2023-01-21T11:14:52.000Z","agg_beat_waveforms","LGBM","0.7541196346282959","87.64606881141663","-1","0.9","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","78","2023-01-21T11:13:31.000Z","agg_beat_waveforms","LGBM","0.747905969619751","68.92923307418823","-1","0.7","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","60","2023-01-21T11:12:28.000Z","agg_beat_waveforms","LGBM","0.7538646459579468","50.64652633666992","-1","0.5","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","40","2023-01-21T11:11:46.000Z","agg_beat_waveforms","LGBM","0.7497287392616272","32.058454513549805","-1","0.3","31","600","0.1"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","27","2023-01-21T11:11:16.000Z","agg_beat_waveforms","LGBM","0.7392804622650146","17.554789781570435","-1","0.1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","44","2023-01-21T11:08:44.000Z","whole_signal_features","LGBM","0.7787697315216064","34.56770348548889","32","0.1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","49","2023-01-21T11:07:52.000Z","whole_signal_features","LGBM","0.744443953037262","32.93444776535034","32","0.1","31","600","0.01"
"ptbxl__whole_signal_features__LGBMClassifier","finished","42","2023-01-21T11:07:07.000Z","whole_signal_features","LGBM","0.7297067642211914","32.7801878452301","32","0.1","31","600","0.005"
"ptbxl__whole_signal_features__LGBMClassifier","finished","41","2023-01-21T11:06:23.000Z","whole_signal_features","LGBM","0.7197887897491455","32.45069360733032","32","0.1","31","600","0.001"
"ptbxl__whole_signal_features__LGBMClassifier","finished","76","2023-01-21T10:59:08.000Z","whole_signal_features","LGBM","0.7705007195472717","67.26313972473145","32","0.1","31","1000","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","50","2023-01-21T10:58:15.000Z","whole_signal_features","LGBM","0.7787697315216064","40.848692655563354","32","0.1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","23","2023-01-21T10:57:50.000Z","whole_signal_features","LGBM","0.7712570428848267","15.16203236579895","32","0.1","31","250","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","15","2023-01-21T10:57:32.000Z","whole_signal_features","LGBM","0.7587741017341614","5.6462156772613525","32","0.1","31","100","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","73","2023-01-21T10:55:56.000Z","whole_signal_features","LGBM","0.7740054130554199","62.57586741447449","32","0.1","63","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","47","2023-01-21T10:55:06.000Z","whole_signal_features","LGBM","0.7787697315216064","38.35453939437866","32","0.1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","34","2023-01-21T10:54:30.000Z","whole_signal_features","LGBM","0.7751479148864746","24.367517232894897","32","0.1","15","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","23","2023-01-21T10:54:04.000Z","whole_signal_features","LGBM","0.7665612697601318","14.28520917892456","32","0.1","7","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","49","2023-01-21T10:53:00.000Z","whole_signal_features","LGBM","0.7787697315216064","38.42857646942139","-1","0.1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","51","2023-01-21T10:52:06.000Z","whole_signal_features","LGBM","0.7787697315216064","41.91875672340393","64","0.1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","47","2023-01-21T10:51:16.000Z","whole_signal_features","LGBM","0.7787697315216064","38.631399154663086","32","0.1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","46","2023-01-21T10:50:28.000Z","whole_signal_features","LGBM","0.7713423371315002","36.41228699684143","16","0.1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","27","2023-01-21T10:49:58.000Z","whole_signal_features","LGBM","0.766013503074646","17.82254719734192","4","0.1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","272","2023-01-20T22:27:08.000Z","whole_signal_features","LGBM","0.7690297365188599","261.19164085388184","-1","1","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","249","2023-01-20T22:22:56.000Z","whole_signal_features","LGBM","0.7708476185798645","238.01215887069705","-1","0.9","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","200","2023-01-20T22:19:33.000Z","whole_signal_features","LGBM","0.7742068767547607","189.4762077331543","-1","0.7","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","145","2023-01-20T22:17:05.000Z","whole_signal_features","LGBM","0.7786643505096436","136.64123940467834","-1","0.5","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","94","2023-01-20T22:15:28.000Z","whole_signal_features","LGBM","0.7778748869895935","85.84578108787537","-1","0.3","31","600","0.1"
"ptbxl__whole_signal_features__LGBMClassifier","finished","48","2023-01-20T22:14:38.000Z","whole_signal_features","LGBM","0.7787697315216064","38.081756353378296","-1","0.1","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","63","2023-01-20T22:12:46.000Z","agg_beat_features","LGBM","0.7632889747619629","53.5834276676178","32","0.9","31","600","0.5"
"ptbxl__agg_beat_features__LGBMClassifier","finished","72","2023-01-20T22:10:50.000Z","agg_beat_features","LGBM","0.775946319103241","63.13339209556579","32","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","68","2023-01-20T22:09:39.000Z","agg_beat_features","LGBM","0.7494747042655945","59.9408814907074","32","0.9","31","600","0.01"
"ptbxl__agg_beat_features__LGBMClassifier","finished","71","2023-01-20T22:08:25.000Z","agg_beat_features","LGBM","0.7346516847610474","61.9468936920166","32","0.9","31","600","0.005"
"ptbxl__agg_beat_features__LGBMClassifier","finished","67","2023-01-20T22:07:14.000Z","agg_beat_features","LGBM","0.7114382982254028","58.337127923965454","32","0.9","31","600","0.001"
"ptbxl__agg_beat_features__LGBMClassifier","finished","107","2023-01-20T22:05:05.000Z","agg_beat_features","LGBM","0.765509843826294","96.22562670707704","32","0.9","31","1000","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","65","2023-01-20T22:03:57.000Z","agg_beat_features","LGBM","0.775946319103241","55.48424196243286","32","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","31","2023-01-20T22:03:23.000Z","agg_beat_features","LGBM","0.7725867033004761","22.256697177886963","32","0.9","31","250","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","19","2023-01-20T22:03:01.000Z","agg_beat_features","LGBM","0.760777473449707","10.361672401428224","32","0.9","31","100","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","167","2023-01-20T21:59:39.000Z","agg_beat_features","LGBM","0.760327935218811","157.1871359348297","32","0.9","127","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","112","2023-01-20T21:57:44.000Z","agg_beat_features","LGBM","0.7712392807006836","101.7483775615692","32","0.9","63","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","70","2023-01-20T21:56:31.000Z","agg_beat_features","LGBM","0.775946319103241","61.71529483795166","32","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","45","2023-01-20T21:55:43.000Z","agg_beat_features","LGBM","0.7745221853256226","36.73837089538574","32","0.9","15","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","78","2023-01-20T21:54:08.000Z","agg_beat_features","LGBM","0.7697269916534424","68.1733226776123","32","1","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","72","2023-01-20T21:52:54.000Z","agg_beat_features","LGBM","0.775946319103241","60.29764461517334","32","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","55","2023-01-20T21:51:56.000Z","agg_beat_features","LGBM","0.7735608220100403","48.273173093795776","32","0.7","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","45","2023-01-20T21:51:08.000Z","agg_beat_features","LGBM","0.7685924768447876","39.0785129070282","32","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","38","2023-01-20T21:50:27.000Z","agg_beat_features","LGBM","0.7668871879577637","28.687532901763916","32","0.3","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","33","2023-01-20T21:49:51.000Z","agg_beat_features","LGBM","0.7671798467636108","19.351860761642456","32","0.1","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","72","2023-01-20T21:48:23.000Z","agg_beat_features","LGBM","0.775946319103241","62.20367193222046","-1","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","67","2023-01-20T21:47:13.000Z","agg_beat_features","LGBM","0.775946319103241","58.42551159858704","64","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","68","2023-01-20T21:46:02.000Z","agg_beat_features","LGBM","0.775946319103241","59.97938537597656","32","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","70","2023-01-20T21:44:49.000Z","agg_beat_features","LGBM","0.767685055732727","59.673922300338745","16","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","34","2023-01-20T21:44:13.000Z","agg_beat_features","LGBM","0.7673047780990601","24.8857479095459","4","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","35","2023-01-20T21:43:08.000Z","agg_beat_features","LGBM","0.7646986246109009","28.54326581954956","4","1","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","34","2023-01-20T21:42:31.000Z","agg_beat_features","LGBM","0.7673047780990601","26.078699588775635","4","0.9","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","41","2023-01-20T21:41:48.000Z","agg_beat_features","LGBM","0.7646821141242981","24.87101888656616","4","0.7","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","25","2023-01-20T21:41:21.000Z","agg_beat_features","LGBM","0.7653881311416626","17.295825242996216","4","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","23","2023-01-20T21:40:55.000Z","agg_beat_features","LGBM","0.7621521949768066","14.570321798324583","4","0.3","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","19","2023-01-20T21:40:33.000Z","agg_beat_features","LGBM","0.7579185962677002","9.709428310394289","4","0.1","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","45","2023-01-20T21:39:01.000Z","agg_beat_features","LGBM","0.7702983617782593","37.71230411529541","16","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","37","2023-01-20T21:38:21.000Z","agg_beat_features","LGBM","0.7638357281684875","27.805378913879395","16","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","25","2023-01-20T21:36:35.000Z","agg_beat_features","LGBM","0.7653881311416626","19.197420358657837","4","0.5","31","600","0.1"
"ptbxl__agg_beat_features__LGBMClassifier","finished","20","2023-01-20T21:36:12.000Z","agg_beat_features","LGBM","0.7735572457313538","11.92614245414734","4","0.5","31","600","0.1"
