"Name","State","Runtime","Created","representation","model","val/fscore","model.C","model.max_iter","model.solver","fit_time"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","203","2023-01-20T16:53:26.000Z","whole_signal_waveforms","Regression","0.3687371611595154","10","2000","lbfgs","194.7376120090485"
"ptbxl__whole_signal_features__LogisticRegression","finished","176","2023-01-20T16:50:27.000Z","whole_signal_features","Regression","0.6852742433547974","10","2000","lbfgs","167.81166076660156"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","54","2023-01-20T16:49:30.000Z","agg_beat_waveforms","Regression","0.6389147639274597","10","2000","lbfgs","45.20099663734436"
"ptbxl__agg_beat_features__LogisticRegression","finished","56","2023-01-20T16:48:31.000Z","agg_beat_features","Regression","0.6902681589126587","10","2000","lbfgs","47.04814028739929"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","304","2023-01-20T16:41:28.000Z","whole_signal_waveforms","Regression","0.20392349362373352","1","100","saga","293.825430393219"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","212","2023-01-20T16:37:53.000Z","whole_signal_waveforms","Regression","0.2370537519454956","1","100","sag","203.9986097812653"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","411","2023-01-20T16:30:59.000Z","whole_signal_waveforms","Regression","0.3659785985946655","1","100","newton-cg","402.9685175418854"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","40","2023-01-20T16:30:16.000Z","whole_signal_waveforms","Regression","0.36466407775878906","1","100","lbfgs","30.210922241210938"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","34","2023-01-20T16:29:07.000Z","whole_signal_waveforms","Regression","0.36466407775878906","1","100","lbfgs","27.3926522731781"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","38","2023-01-20T16:28:26.000Z","whole_signal_waveforms","Regression","0.361000657081604","0.1","100","lbfgs","28.409636974334717"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","31","2023-01-20T16:27:52.000Z","whole_signal_waveforms","Regression","0.32081976532936096","0.01","100","lbfgs","19.639299631118774"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","19","2023-01-20T16:27:30.000Z","whole_signal_waveforms","Regression","0.27565687894821167","0.001","100","lbfgs","8.683027982711792"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","55","2023-01-20T16:24:43.000Z","whole_signal_waveforms","Regression","0.3601711392402649","0.1","5000","lbfgs","49.406779050827026"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","58","2023-01-20T16:23:42.000Z","whole_signal_waveforms","Regression","0.3601711392402649","0.1","2000","lbfgs","51.2649462223053"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","62","2023-01-20T16:22:37.000Z","whole_signal_waveforms","Regression","0.3601711392402649","0.1","500","lbfgs","52.01392889022827"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","42","2023-01-20T16:21:53.000Z","whole_signal_waveforms","Regression","0.361000657081604","0.1","100","lbfgs","30.581754207611084"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","89","2023-01-20T16:00:18.000Z","agg_beat_waveforms","Regression","0.6626447439193726","0.1","2000","saga","79.59430360794067"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","39","2023-01-20T15:59:36.000Z","agg_beat_waveforms","Regression","0.6626724600791931","0.1","2000","sag","31.51280975341797"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","14","2023-01-20T15:59:19.000Z","agg_beat_waveforms","Regression","0.6626724600791931","0.1","2000","newton-cg","7.316017150878906"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","15","2023-01-20T15:59:01.000Z","agg_beat_waveforms","Regression","0.6626724600791931","0.1","2000","lbfgs","7.089900732040405"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","24","2023-01-20T15:57:38.000Z","agg_beat_waveforms","Regression","0.6488689184188843","1","2000","lbfgs","17.613892555236816"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","16","2023-01-20T15:57:19.000Z","agg_beat_waveforms","Regression","0.6626724600791931","0.1","2000","lbfgs","6.55314302444458"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","11","2023-01-20T15:57:05.000Z","agg_beat_waveforms","Regression","0.6540313363075256","0.01","2000","lbfgs","2.963392972946167"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","11","2023-01-20T15:56:52.000Z","agg_beat_waveforms","Regression","0.6082096695899963","0.001","2000","lbfgs","2.1640801429748535"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","13","2023-01-20T15:54:28.000Z","agg_beat_waveforms","Regression","0.6626724600791931","0.1","5000","lbfgs","6.767993927001953"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","14","2023-01-20T15:54:11.000Z","agg_beat_waveforms","Regression","0.6626724600791931","0.1","2000","lbfgs","6.308766603469849"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","13","2023-01-20T15:53:55.000Z","agg_beat_waveforms","Regression","0.6626724600791931","0.1","500","lbfgs","6.476232528686523"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","13","2023-01-20T15:53:39.000Z","agg_beat_waveforms","Regression","0.6613894701004028","0.1","100","lbfgs","3.9055850505828857"
"ptbxl__whole_signal_features__LogisticRegression","finished","1967","2023-01-20T15:16:44.000Z","whole_signal_features","Regression","0.5759422779083252","0.001","2000","saga","1960.3123981952667"
"ptbxl__whole_signal_features__LogisticRegression","finished","1431","2023-01-20T14:52:50.000Z","whole_signal_features","Regression","0.5846617817878723","0.001","2000","sag","1423.2804629802704"
"ptbxl__whole_signal_features__LogisticRegression","finished","1875","2023-01-20T14:21:32.000Z","whole_signal_features","Regression","0.6883461475372314","0.001","2000","newton-cg","1865.2401776313784"
"ptbxl__whole_signal_features__LogisticRegression","finished","220","2023-01-20T14:17:50.000Z","whole_signal_features","Regression","0.6823635697364807","0.001","2000","lbfgs","200.3554315567017"
"ptbxl__whole_signal_features__LogisticRegression","finished","213","2023-01-20T14:12:56.000Z","whole_signal_features","Regression","0.6768548488616943","1","2000","lbfgs","205.7610015869141"
"ptbxl__whole_signal_features__LogisticRegression","finished","211","2023-01-20T14:09:22.000Z","whole_signal_features","Regression","0.680458664894104","0.1","2000","lbfgs","202.76316261291504"
"ptbxl__whole_signal_features__LogisticRegression","finished","194","2023-01-20T14:06:04.000Z","whole_signal_features","Regression","0.6806734204292297","0.01","2000","lbfgs","185.91579937934875"
"ptbxl__whole_signal_features__LogisticRegression","finished","194","2023-01-20T14:02:47.000Z","whole_signal_features","Regression","0.6823635697364807","0.001","2000","lbfgs","183.59440112113953"
"ptbxl__whole_signal_features__LogisticRegression","finished","430","2023-01-20T13:41:11.000Z","whole_signal_features","Regression","0.6855717301368713","0.1","5000","lbfgs","423.34853506088257"
"ptbxl__whole_signal_features__LogisticRegression","finished","173","2023-01-20T13:38:16.000Z","whole_signal_features","Regression","0.680458664894104","0.1","2000","lbfgs","166.02793383598328"
"ptbxl__whole_signal_features__LogisticRegression","finished","55","2023-01-20T13:37:18.000Z","whole_signal_features","Regression","0.6666334271430969","0.1","500","lbfgs","44.40678644180298"
"ptbxl__whole_signal_features__LogisticRegression","finished","20","2023-01-20T13:36:55.000Z","whole_signal_features","Regression","0.5875102281570435","0.1","100","lbfgs","10.30764937400818"
