"Name","State","Runtime","Created","dataset","model","representation","test/fscore","test/auroc","val/fscore","val/auroc","fit_time","inference_mean_time","inference_std_time","memory_complexity","val/mae","test/mae"
"sleep_edf__whole_signal_waveforms__MLPClassifier","finished","366","2023-01-23T17:04:47.000Z","sleep_edf","MLP","whole_signal_waveforms","0.41977599263191223","0.681341290473938","0.4329149127006531","0.6884002089500427","340.05427145957947","0.2648916261891524","0.08398597283878194","20603323","",""
"sleep_edf__whole_signal_features__CNNClassifier","finished","3558","2023-01-24T00:07:01.000Z","sleep_edf","CNN","whole_signal_features","0.17208710312843323","0.5782696008682251","0.1751883029937744","0.5363441705703735","3458.9688155651093","1.2037825071811676","0.12204618806114312","1140109","",""
"sleep_edf__whole_signal_waveforms__LGBMClassifier","finished","203","2023-01-23T16:46:05.000Z","sleep_edf","LGBM","whole_signal_waveforms","0.3917047083377838","0.6835498809814453","0.4061462283134461","0.6951180100440979","171.7584764957428","0.5867608388264974","0.111228657289384","7046533","",""
"sleep_edf__whole_signal_waveforms__LogisticRegression","finished","1479","2023-01-23T12:24:04.000Z","sleep_edf","Regression","whole_signal_waveforms","0.19223935902118683","0.5008634328842163","0.1899695098400116","0.4999229311943054","1450.0715420246124","0.043529669443766274","0.00691453938949691","216804","",""
"sleep_edf__whole_signal_waveforms__DecisionTreeClassifier","finished","879","2023-01-23T16:19:57.000Z","sleep_edf","Decision Tree","whole_signal_waveforms","0.28103044629096985","0.5074231624603271","0.28217169642448425","0.5105788111686707","842.1786026954651","0.04073063532511393","0.0079568129894534","6580061","",""
"sleep_edf__whole_signal_features__LogisticRegression","finished","447","2023-01-23T16:07:26.000Z","sleep_edf","Regression","whole_signal_features","0.6721761226654053","0.8827557563781738","0.707637369632721","0.9070849418640136","429.28876399993896","0.04392306009928385","0.02605084430058384","38914","",""
"sleep_edf__whole_signal_features__DecisionTreeClassifier","finished","67","2023-01-23T16:40:43.000Z","sleep_edf","Decision Tree","whole_signal_features","0.7037678360939026","0.8634119629859924","0.7150618433952332","0.8636055588722229","56.46864724159241","0.04449605941772461","0.025268335177864944","930573","",""
"sleep_edf__whole_signal_waveforms__CNNClassifier","finished","12084","2023-01-23T18:17:48.000Z","sleep_edf","CNN","whole_signal_waveforms","0.3867030441761017","0.639690637588501","0.4393380582332611","0.6639503836631775","11082.628935098648","11.058244043986004","0.9286772845146258","14223565","",""
"sleep_edf__whole_signal_features__MLPClassifier","finished","1137","2023-01-23T17:15:38.000Z","sleep_edf","MLP","whole_signal_features","0.7089678049087524","0.8826063871383667","0.7053491473197937","0.8894208073616028","1123.624472618103","0.17982079992691677","0.02936497521028616","3797435","",""
"sleep_edf__whole_signal_features__LGBMClassifier","finished","131","2023-01-23T16:51:09.000Z","sleep_edf","LGBM","whole_signal_features","0.80275958776474","0.9616135954856871","0.8067957162857056","0.960253655910492","113.87480807304382","0.4592442512512207","0.13432382124041112","12846104","",""
"ptbxl__whole_signal_features__LGBMClassifier","finished","43","2023-01-23T16:50:18.000Z","ptbxl","LGBM","whole_signal_features","0.7630947828292847","0.9209983944892884","0.7787697315216064","0.9280993938446044","36.73176884651184","0.4680140813191731","0.08526109514651597","10923432","",""
"ptbxl__whole_signal_features__LogisticRegression","finished","1640","2023-01-23T12:51:55.000Z","ptbxl","Regression","whole_signal_features","0.7019310593605042","0.8748592734336853","0.6883461475372314","0.8749138712882996","1631.1441855430603","0.04218816757202149","0.02145895358073857","73499","",""
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","1574","2023-01-23T17:51:27.000Z","ptbxl","CNN","whole_signal_waveforms","0.7416502237319946","0.8510479927062988","0.7576681971549988","0.8579462766647339","1536.658373117447","6.621857705116272","1.1176042830483204","14388429","",""
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","321","2023-01-24T01:16:58.000Z","ptbxl","CNN","agg_beat_waveforms","0.7516669034957886","0.8589431047439575","0.7566004991531372","0.8710082769393921","311.33223009109497","0.8309420800209045","0.06998464742519132","3836109","",""
"ptbxl__agg_beat_features__MLPClassifier","finished","68","2023-01-23T17:42:23.000Z","ptbxl","MLP","agg_beat_features","0.7038099765777588","0.8482550382614136","0.7112218141555786","0.8569298982620239","59.10267448425293","0.1767081600179275","0.0650615248888293","3032577","",""
"ptbxl__agg_beat_features__LGBMClassifier","finished","73","2023-01-23T16:55:49.000Z","ptbxl","LGBM","agg_beat_features","0.7837543487548828","0.9236598014831544","0.775946319103241","0.9242936372756958","62.76412487030029","0.4887493451436361","0.12271415198052596","10713699","",""
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","101","2023-01-23T16:53:44.000Z","ptbxl","LGBM","agg_beat_waveforms","0.7466468811035156","0.9092661738395692","0.7541196346282959","0.9132902026176452","89.53234219551086","0.4419827461242676","0.05941129504759523","10821583","",""
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","40","2023-01-23T16:15:19.000Z","ptbxl","Regression","agg_beat_waveforms","0.6309954524040222","0.8369004726409912","0.6626724600791931","0.8571376800537109","30.887665271759033","0.03465493520100912","0.003683613255967793","24764","",""
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","28","2023-01-23T16:40:09.000Z","ptbxl","Decision Tree","whole_signal_features","0.6254968643188477","0.7116044163703918","0.6257107853889465","0.7111920714378357","19.98088955879211","0.06000677744547526","0.036419462367160864","160189","",""
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","206","2023-01-23T12:15:45.000Z","ptbxl","Regression","whole_signal_waveforms","0.3839529156684875","0.5205765962600708","0.3687371611595154","0.5150234699249268","195.8758041858673","0.07102648417154948","0.03043252106878694","480788","",""
"ptbxl__agg_beat_features__CNNClassifier","finished","1985","2023-01-24T01:25:10.000Z","ptbxl","CNN","agg_beat_features","0.7148754000663757","0.8430006504058838","0.7255173325538635","0.8497026562690735","1938.681993484497","13.241784213383992","7.059430600804173","18869949","",""
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","58","2023-01-23T16:45:01.000Z","ptbxl","LGBM","whole_signal_waveforms","0.5950255990028381","0.7974072098731995","0.6350950002670288","0.8154278993606567","45.87137174606323","0.3856182098388672","0.06063175567173413","6303526","",""
"ptbxl__whole_signal_features__MLPClassifier","finished","140","2023-01-23T17:13:11.000Z","ptbxl","MLP","whole_signal_features","0.7144001722335815","0.8409870862960815","0.7205849289894104","0.8606446981430054","132.02960181236267","0.2085229866206646","0.041513459313601224","9615803","",""
"ptbxl__whole_signal_features__CNNClassifier","finished","1547","2023-01-23T23:41:07.000Z","ptbxl","CNN","whole_signal_features","0.6938540935516357","0.8518736958503723","0.7065855264663696","0.8728309869766235","1518.0863692760468","2.134600210984548","0.21686886382733336","1139085","",""
"ptbxl__agg_beat_waveforms__MLPClassifier","finished","146","2023-01-23T17:36:37.000Z","ptbxl","MLP","agg_beat_waveforms","0.6925737261772156","0.8058847188949585","0.7110477685928345","0.8231679201126099","138.02365970611572","0.10995392012099424","0.03279002014333065","4966919","",""
