"Name","State","Runtime","Created","dataset","model","representation","test/fscore","test/auroc","val/fscore","val/auroc","fit_time","inference_mean_time","inference_std_time","memory_complexity"
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","13","2023-01-09T09:16:58.000Z","ptbxl","Decision Tree","whole_signal_waveforms","0.4316147267818451","0.5597540736198425","0.436079740524292","0.5646565556526184","2.183647394180298","0.049353440602620445","0.02208678883388304","527471"
"ptbxl__agg_beat_features__CNNClassifier","finished","2211","2023-01-09T08:37:33.000Z","ptbxl","CNN","agg_beat_features","0.6983556151390076","0.8377561569213867","0.7126297950744629","0.835458517074585","2186.35005736351","2.377507522900899","0.3174083207990614","3782477"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","325","2023-01-09T08:18:54.000Z","ptbxl","CNN","agg_beat_waveforms","0.7426919937133789","0.8321913480758667","0.7313622832298279","0.8362566232681274","313.9859342575073","0.7543170126279195","0.0916653497974836","3861325"
"ptbxl__whole_signal_features__CNNClassifier","finished","1410","2023-01-09T07:48:12.000Z","ptbxl","CNN","whole_signal_features","0.5919422507286072","0.7599390745162964","0.607613205909729","0.7811610698699951","1377.3891334533691","3.834092803796133","0.3054899455161341","3782477"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","333","2023-01-09T07:42:36.000Z","ptbxl","CNN","whole_signal_waveforms","0.7304742336273193","0.8356722593307495","0.7400810122489929","0.8521813154220581","318.1260471343994","2.0558155794938404","0.4571955230024381","3861325"
"ptbxl__agg_beat_features__MLPClassifier","finished","198","2023-01-09T07:39:15.000Z","ptbxl","MLP","agg_beat_features","0.715408205986023","0.8168563842773438","0.7174128293991089","0.8213797807693481","188.2610466480255","0.27543327942490575","0.0706562464709724","3667183"
"ptbxl__agg_beat_waveforms__MLPClassifier","finished","151","2023-01-09T07:36:41.000Z","ptbxl","MLP","agg_beat_waveforms","0.7010661363601685","0.7847412824630737","0.7112930417060852","0.7971264123916626","143.7370729446411","0.24693141301472984","0.03134343978759147","3937519"
"ptbxl__whole_signal_features__MLPClassifier","finished","246","2023-01-09T07:32:32.000Z","ptbxl","MLP","whole_signal_features","0.6729927062988281","0.8033682107925415","0.675316333770752","0.8135671615600586","236.06831908226013","0.2073816530406475","0.04272120150347687","6431983"
"ptbxl__whole_signal_waveforms__MLPClassifier","finished","136","2023-01-09T07:30:13.000Z","ptbxl","MLP","whole_signal_waveforms","0.43567460775375366","0.5261988043785095","0.4367083013057709","0.5209945440292358","126.03496599197388","0.5360808538397154","0.1053025707210074","14996719"
"ptbxl__agg_beat_features__LogisticRegression","finished","11","2023-01-09T07:29:59.000Z","ptbxl","Regression","agg_beat_features","0.6898054480552673","0.8713996410369873","0.696174144744873","0.8758119940757751","2.7377965450286865","0.03689289093017578","0.01506048049396305","38215"
"ptbxl__agg_beat_waveforms__LogisticRegression","finished","12","2023-01-09T07:29:43.000Z","ptbxl","Regression","agg_beat_waveforms","0.6630837917327881","0.8466533422470093","0.6718276739120483","0.8620672225952148","3.3293344974517822","0.04071950912475586","0.012615743408804695","48775"
"ptbxl__whole_signal_features__LogisticRegression","finished","17","2023-01-09T07:29:24.000Z","ptbxl","Regression","whole_signal_features","0.6151225566864014","0.8173922300338745","0.630134105682373","0.8239997625350952","9.127642631530762","0.044046243031819664","0.02027341857763291","146224"
"ptbxl__whole_signal_waveforms__LogisticRegression","finished","36","2023-01-09T07:28:45.000Z","ptbxl","Regression","whole_signal_waveforms","0.4067092835903168","0.5219147205352783","0.38449400663375854","0.511480450630188","27.838001251220703","0.05505879720052083","0.014706958913039888","480784"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","10","2023-01-09T07:28:33.000Z","ptbxl","Decision Tree","agg_beat_features","0.6004809737205505","0.6922839879989624","0.60920649766922","0.705428957939148","0.6300628185272217","0.03722111384073893","0.007235613265467254","436847"
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","8","2023-01-09T07:28:22.000Z","ptbxl","Decision Tree","agg_beat_waveforms","0.5901458263397217","0.6910640001296997","0.6047406196594238","0.7020647525787354","0.8546762466430664","0.03853003184000651","0.00751989970900608","432047"
"ptbxl__whole_signal_features__DecisionTreeClassifier","finished","11","2023-01-09T07:28:09.000Z","ptbxl","Decision Tree","whole_signal_features","0.5918847322463989","0.6868857145309448","0.6010792851448059","0.698188066482544","1.2627086639404297","0.054459571838378906","0.01980177457844485","399215"
"ptbxl__agg_beat_features__LGBMClassifier","finished","18","2023-01-09T07:27:36.000Z","ptbxl","LGBM","agg_beat_features","0.7651016712188721","0.9197456240653992","0.7563649415969849","0.9185389280319214","10.237765550613403","0.2022425333658854","0.045440939708718514","1799661"
"ptbxl__agg_beat_waveforms__LGBMClassifier","finished","19","2023-01-09T07:27:14.000Z","ptbxl","LGBM","agg_beat_waveforms","0.7435972690582275","0.9045185446739196","0.7374148368835449","0.9135570526123048","13.080940008163452","0.21755456924438477","0.07111231704046712","1841046"
"ptbxl__whole_signal_features__LGBMClassifier","finished","52","2023-01-09T07:26:19.000Z","ptbxl","LGBM","whole_signal_features","0.7659486532211304","0.9198727011680604","0.7594234347343445","0.9235418438911438","43.14704155921936","0.238953431447347","0.07328109769962492","1960083"
"ptbxl__whole_signal_waveforms__LGBMClassifier","finished","187","2023-01-09T07:23:09.000Z","ptbxl","LGBM","whole_signal_waveforms","0.5577318668365479","0.8001694679260254","0.5869255065917969","0.824938178062439","174.23309135437012","0.2771083513895671","0.04642125460489391","2521249"
"sleep_edf__whole_signal_waveforms__CNNClassifier","finished","569","2023-01-08T21:55:57.000Z","sleep_edf","CNN","whole_signal_waveforms","0.2732137441635132","0.49625441431999207","0.28672292828559875","0.5204859375953674","168.62125873565674","4.1072144015630085","0.8808830747314772","3797837"
"sleep_edf__whole_signal_features__MLPClassifier","finished","183","2023-01-08T18:49:18.000Z","sleep_edf","MLP","whole_signal_features","0.6671600341796875","0.8604419231414795","0.6639025211334229","0.8664705753326416","168.50516724586487","0.2011468799908956","0.034872129185919025","3522799"
"sleep_edf__whole_signal_waveforms__MLPClassifier","finished","232","2023-01-08T18:45:22.000Z","sleep_edf","MLP","whole_signal_waveforms","0.46941232681274414","0.6978157758712769","0.4659833908081054","0.6920022964477539","205.28362464904785","0.2292964265247186","0.04682287153024943","11925743"
"sleep_edf__whole_signal_features__LogisticRegression","finished","32","2023-01-08T18:08:49.000Z","sleep_edf","Regression","whole_signal_features","0.5484024882316589","0.7934361696243286","0.5522186160087585","0.8342777490615845","15.208513021469116","0.03502051035563151","0.004945181947743377","19847"
"sleep_edf__whole_signal_waveforms__LogisticRegression","finished","155","2023-01-08T18:06:11.000Z","sleep_edf","Regression","whole_signal_waveforms","0.3274707496166229","0.534253716468811","0.30430328845977783","0.5152240991592407","126.99238419532776","0.03944635391235352","0.006074299181968748","216800"
"sleep_edf__whole_signal_features__DecisionTreeClassifier","finished","12","2023-01-08T18:05:56.000Z","sleep_edf","Decision Tree","whole_signal_features","0.6605117917060852","0.7748249173164368","0.6682556867599487","0.7830076813697815","4.710961818695068","0.037479400634765625","0.00855277153625333","3562175"
"sleep_edf__whole_signal_waveforms__DecisionTreeClassifier","finished","43","2023-01-08T18:05:10.000Z","sleep_edf","Decision Tree","whole_signal_waveforms","0.4311095178127289","0.618196964263916","0.4204709529876709","0.6104902029037476","23.053081512451172","0.03626585006713867","0.003703436200028547","6237471"
"sleep_edf__whole_signal_features__LGBMClassifier","finished","43","2023-01-08T18:04:24.000Z","sleep_edf","LGBM","whole_signal_features","0.7890923619270325","0.956928849220276","0.7966212034225464","0.9571322798728944","24.667266607284542","0.155944029490153","0.03735946161967677","2116708"
"sleep_edf__whole_signal_waveforms__LGBMClassifier","finished","404","2023-01-08T17:57:37.000Z","sleep_edf","LGBM","whole_signal_waveforms","0.6383114457130432","0.8791167140007019","0.6176024079322815","0.8599348068237305","364.9514451026917","0.2075052261352539","0.0563019123582722","2360870"
